Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200403,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.2,14.4,18.4,,,1364,"(38.8027737147, -77.1237845659)",UNHBEH,LPA,5101000,51510200403,Physical Inactivity
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200302,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.5,2.2,2.8,,,4222,"(38.8200589328, -77.1168077443)",HLTHOUT,STROKE,5101000,51510200302,Stroke
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201203,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,29.9,24.1,35.4,,,7165,"(38.8407594949, -77.0631627995)",PREVENT,ACCESS2,5101000,51510201203,Health Insurance
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201802,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,8.7,4.8,15.0,,,1992,"(38.8079968936, -77.042893431)",HLTHOUT,TEETHLOST,5101000,51510201802,Teeth Loss
2016,VA,Virginia,Alexandria,City,BRFSS,Prevention,5101000,Papanicolaou smear use among adult women aged 21–65 Years,%,AgeAdjPrv,Age-adjusted prevalence,84.1,83.7,84.4,,,139966,"(38.8187351557, -77.0867762661)",PREVENT,PAPTEST,5101000,,Pap Smear Test
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200302,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,28.4,27.3,29.4,,,4222,"(38.8200589328, -77.1168077443)",HLTHOUT,BPHIGH,5101000,51510200302,High Blood Pressure
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,50.2,43.9,56.5,,,2797,"(38.838068099, -77.0814858529)",PREVENT,COREM,5101000,51510201000,Core preventive services for older men
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201900,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,67.7,66.6,68.8,,,1679,"(38.8050559014, -77.0508049902)",PREVENT,CHECKUP,5101000,51510201900,Annual Checkup
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200600,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,82.1,79.9,84.0,,,4490,"(38.8076623401, -77.100919619)",PREVENT,MAMMOUSE,5101000,51510200600,Mammography
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200106,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,31.6,29.9,33.3,,,3176,"(38.8382384687, -77.1138005033)",HLTHOUT,BPHIGH,5101000,51510200106,High Blood Pressure
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201204,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,69.0,68.2,69.8,,,2844,"(38.8341143836, -77.0559966466)",PREVENT,CHECKUP,5101000,51510201204,Annual Checkup
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201100,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,77.6,74.5,80.3,,,2871,"(38.8364282407, -77.0724624991)",PREVENT,DENTAL,5101000,51510201100,Dental Visit
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510202002,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,24.1,22.8,25.4,,,2292,"(38.7922359356, -77.0443858106)",UNHBEH,OBESITY,5101000,51510202002,Obesity
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200106,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,32.3,31.1,33.7,,,3176,"(38.8382384687, -77.1138005033)",HLTHOUT,HIGHCHOL,5101000,51510200106,High Cholesterol
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510201203,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.9,19.0,20.9,,,7165,"(38.8407594949, -77.0631627995)",UNHBEH,BINGE,5101000,51510201203,Binge Drinking
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200202,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,50.2,43.3,56.3,,,1572,"(38.8170867485, -77.097500358)",PREVENT,COREM,5101000,51510200202,Core preventive services for older men
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200500,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.5,9.8,11.2,,,4272,"(38.8154436244, -77.1078473007)",HLTHOUT,CASTHMA,5101000,51510200500,Current Asthma
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200102,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,36.3,29.4,43.6,,,4429,"(38.8333876639, -77.1264548416)",PREVENT,COREM,5101000,51510200102,Core preventive services for older men
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510202001,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.6,4.2,5.3,,,2167,"(38.8003540961, -77.0440466152)",HLTHOUT,CHD,5101000,51510202001,Coronary Heart Disease
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200301,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.8,1.7,1.9,,,3103,"(38.8261060603, -77.1164492983)",HLTHOUT,KIDNEY,5101000,51510200301,Chronic Kidney Disease
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510202001,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.9,6.5,10.1,,,2167,"(38.8003540961, -77.0440466152)",UNHBEH,CSMOKING,5101000,51510202001,Current Smoking
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200404,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,87.8,85.9,89.2,,,3468,"(38.8080757531, -77.1194059499)",PREVENT,PAPTEST,5101000,51510200404,Pap Smear Test
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200900,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.0,1.8,2.3,,,4693,"(38.8260174112, -77.0753544286)",HLTHOUT,STROKE,5101000,51510200900,Stroke
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200103,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.6,18.8,20.5,,,7151,"(38.8225377932, -77.1357399715)",HLTHOUT,ARTHRITIS,5101000,51510200103,Arthritis
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201801,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.9,8.1,10.2,,,5606,"(38.8246145717, -77.0448145724)",HLTHOUT,MHLTH,5101000,51510201801,Mental Health
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200104,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,17.5,12.2,23.2,,,3963,"(38.8284531703, -77.1224721932)",HLTHOUT,TEETHLOST,5101000,51510200104,Teeth Loss
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200500,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,27.7,27.0,28.5,,,4272,"(38.8154436244, -77.1078473007)",HLTHOUT,HIGHCHOL,5101000,51510200500,High Cholesterol
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200701,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.3,7.8,9.2,,,653,"(38.804204347, -77.0824776641)",HLTHOUT,CASTHMA,5101000,51510200701,Current Asthma
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200801,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.9,8.1,9.8,,,2553,"(38.8165993378, -77.0808788508)",HLTHOUT,MHLTH,5101000,51510200801,Mental Health
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200106,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.2,2.8,3.8,,,3176,"(38.8382384687, -77.1138005033)",HLTHOUT,KIDNEY,5101000,51510200106,Chronic Kidney Disease
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200403,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.8,1.6,2.0,,,1364,"(38.8027737147, -77.1237845659)",HLTHOUT,CHD,5101000,51510200403,Coronary Heart Disease
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200106,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.0,11.3,14.9,,,3176,"(38.8382384687, -77.1138005033)",UNHBEH,CSMOKING,5101000,51510200106,Current Smoking
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201900,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.8,7.4,8.3,,,1679,"(38.8050559014, -77.0508049902)",HLTHOUT,CASTHMA,5101000,51510201900,Current Asthma
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200106,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,31.2,29.8,32.7,,,3176,"(38.8382384687, -77.1138005033)",UNHBEH,SLEEP,5101000,51510200106,Sleep <7 hours
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200404,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,4.1,2.8,7.3,,,3468,"(38.8080757531, -77.1194059499)",HLTHOUT,TEETHLOST,5101000,51510200404,Teeth Loss
2017,VA,Virginia,Alexandria,City,BRFSS,Health Outcomes,5101000,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.7,8.6,8.8,,,139966,"(38.8187351557, -77.0867762661)",HLTHOUT,DIABETES,5101000,,Diabetes
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201400,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,44.3,38.4,49.2,,,4199,"(38.8219433941, -77.0616812554)",PREVENT,COREW,5101000,51510201400,Core preventive services for older women
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200105,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.8,9.2,10.5,,,3777,"(38.8327439856, -77.1133333271)",HLTHOUT,CASTHMA,5101000,51510200105,Current Asthma
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200404,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.9,5.5,6.4,,,3468,"(38.8080757531, -77.1194059499)",HLTHOUT,DIABETES,5101000,51510200404,Diabetes
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200103,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.0,11.0,13.2,,,7151,"(38.8225377932, -77.1357399715)",HLTHOUT,PHLTH,5101000,51510200103,Physical Health
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200201,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,24.6,23.7,25.5,,,3571,"(38.8272323814, -77.0986800903)",UNHBEH,OBESITY,5101000,51510200201,Obesity
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200105,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,37.4,32.4,42.1,,,3777,"(38.8327439856, -77.1133333271)",PREVENT,COREW,5101000,51510200105,Core preventive services for older women
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201000,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.7,2.5,3.0,,,2797,"(38.838068099, -77.0814858529)",HLTHOUT,CHD,5101000,51510201000,Coronary Heart Disease
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200500,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,35.2,31.1,39.2,,,4272,"(38.8154436244, -77.1078473007)",PREVENT,COREW,5101000,51510200500,Core preventive services for older women
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510202001,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,27.9,26.8,29.3,,,2167,"(38.8003540961, -77.0440466152)",HLTHOUT,BPHIGH,5101000,51510202001,High Blood Pressure
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200301,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.5,2.3,2.7,,,3103,"(38.8261060603, -77.1164492983)",HLTHOUT,CHD,5101000,51510200301,Coronary Heart Disease
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510201600,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,21.2,20.5,22.0,,,4893,"(38.8114728602, -77.0516935335)",UNHBEH,BINGE,5101000,51510201600,Binge Drinking
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200703,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,27.9,26.6,29.2,,,2769,"(38.7975701151, -77.0542738995)",UNHBEH,OBESITY,5101000,51510200703,Obesity
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200303,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.6,11.6,16.0,,,4720,"(38.815429607, -77.1260881863)",PREVENT,ACCESS2,5101000,51510200303,Health Insurance
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510201600,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,30.7,29.4,32.3,,,4893,"(38.8114728602, -77.0516935335)",UNHBEH,SLEEP,5101000,51510201600,Sleep <7 hours
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510201000,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.8,13.6,16.4,,,2797,"(38.838068099, -77.0814858529)",UNHBEH,LPA,5101000,51510201000,Physical Inactivity
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200106,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,68.1,65.3,70.5,,,3176,"(38.8382384687, -77.1138005033)",PREVENT,COLON_SCREEN,5101000,51510200106,Colorectal Cancer Screening
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200302,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,25.0,22.8,27.2,,,4222,"(38.8200589328, -77.1168077443)",UNHBEH,LPA,5101000,51510200302,Physical Inactivity
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201300,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,84.2,81.5,86.1,,,3105,"(38.8235664971, -77.0544032467)",PREVENT,MAMMOUSE,5101000,51510201300,Mammography
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201801,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.8,7.0,8.9,,,5606,"(38.8246145717, -77.0448145724)",HLTHOUT,PHLTH,5101000,51510201801,Physical Health
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200202,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.1,8.7,9.3,,,1572,"(38.8170867485, -77.097500358)",HLTHOUT,CANCER,5101000,51510200202,Cancer (except skin)
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200106,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.2,9.3,11.3,,,3176,"(38.8382384687, -77.1138005033)",HLTHOUT,MHLTH,5101000,51510200106,Mental Health
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200500,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.8,10.6,13.1,,,4272,"(38.8154436244, -77.1078473007)",HLTHOUT,PHLTH,5101000,51510200500,Physical Health
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201300,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,5.6,3.7,9.0,,,3105,"(38.8235664971, -77.0544032467)",HLTHOUT,TEETHLOST,5101000,51510201300,Teeth Loss
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200103,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,68.8,67.9,69.9,,,7151,"(38.8225377932, -77.1357399715)",PREVENT,BPMED,5101000,51510200103,Taking BP Medication
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510201100,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,28.6,27.3,30.0,,,2871,"(38.8364282407, -77.0724624991)",UNHBEH,SLEEP,5101000,51510201100,Sleep <7 hours
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200406,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.2,14.8,19.6,,,4482,"(38.81168995, -77.1360237582)",UNHBEH,CSMOKING,5101000,51510200406,Current Smoking
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200900,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,6.4,5.2,8.1,,,4693,"(38.8260174112, -77.0753544286)",PREVENT,ACCESS2,5101000,51510200900,Health Insurance
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200201,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,76.9,74.7,78.9,,,3571,"(38.8272323814, -77.0986800903)",PREVENT,DENTAL,5101000,51510200201,Dental Visit
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200106,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,82.3,79.8,84.4,,,3176,"(38.8382384687, -77.1138005033)",PREVENT,MAMMOUSE,5101000,51510200106,Mammography
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200405,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.7,1.5,1.8,,,6744,"(38.8077581153, -77.131138421)",HLTHOUT,STROKE,5101000,51510200405,Stroke
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200500,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,68.3,67.1,69.4,,,4272,"(38.8154436244, -77.1078473007)",PREVENT,BPMED,5101000,51510200500,Taking BP Medication
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510201600,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,80.3,78.4,81.7,,,4893,"(38.8114728602, -77.0516935335)",PREVENT,CHOLSCREEN,5101000,51510201600,Cholesterol Screening
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200301,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.9,7.0,8.9,,,3103,"(38.8261060603, -77.1164492983)",HLTHOUT,PHLTH,5101000,51510200301,Physical Health
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510202001,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.0,3.4,5.0,,,2167,"(38.8003540961, -77.0440466152)",HLTHOUT,COPD,5101000,51510202001,COPD
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201802,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.6,2.3,3.0,,,1992,"(38.8079968936, -77.042893431)",HLTHOUT,STROKE,5101000,51510201802,Stroke
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201500,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.9,7.6,8.4,,,3602,"(38.8136652847, -77.0649037383)",HLTHOUT,CASTHMA,5101000,51510201500,Current Asthma
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200302,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,70.2,67.4,73.1,,,4222,"(38.8200589328, -77.1168077443)",PREVENT,COLON_SCREEN,5101000,51510200302,Colorectal Cancer Screening
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Unhealthy Behaviors,5101000-51510200405,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,29.2,28.0,30.4,,,6744,"(38.8077581153, -77.131138421)",UNHBEH,OBESITY,5101000,51510200405,Obesity
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200900,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.1,3.4,5.1,,,4693,"(38.8260174112, -77.0753544286)",HLTHOUT,COPD,5101000,51510200900,COPD
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510201802,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.7,2.6,3.0,,,1992,"(38.8079968936, -77.042893431)",HLTHOUT,KIDNEY,5101000,51510201802,Chronic Kidney Disease
2016,VA,Virginia,Alexandria,Census Tract,BRFSS,Prevention,5101000-51510200802,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,82.4,78.8,84.8,,,2909,"(38.8087487417, -77.0763890219)",PREVENT,MAMMOUSE,5101000,51510200802,Mammography
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510202001,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.3,2.2,2.5,,,2167,"(38.8003540961, -77.0440466152)",HLTHOUT,KIDNEY,5101000,51510202001,Chronic Kidney Disease
2017,VA,Virginia,Alexandria,Census Tract,BRFSS,Health Outcomes,5101000-51510200102,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.5,2.3,2.6,,,4429,"(38.8333876639, -77.1264548416)",HLTHOUT,KIDNEY,5101000,51510200102,Chronic Kidney Disease
